gene_id	colors
HOXB3	turquoise
HOXB6	turquoise
RP11-357H14.17	brown
HOXB13	brown
IGF2BP1	brown
B4GALNT2	grey
ABI3	blue
NGFR	turquoise
RP5-1029K10.2	turquoise
NXPH3	turquoise
SGCA	turquoise
COL1A1	turquoise
CHAD	yellow
EPN3	red
MTCO1P40	grey
HLF	turquoise
TMEM100	turquoise
TSPOAP1	blue
RP5-1171I10.5	blue
CTD-2510F5.4	brown
PRR11	brown
CA4	turquoise
TBX2	turquoise
CTD-3035K23.3	turquoise
MRC2	turquoise
ACE	turquoise
CTD-2501B8.1	turquoise
TCAM1P	brown
CD79B	blue
SCN4A	turquoise
PRR29	turquoise
ICAM2	turquoise
PECAM1	turquoise
APOH	black
RP11-74H8.1	yellow
CACNG4	yellow
ABCA8	turquoise
ABCA9	turquoise
ABCA6	turquoise
KCNJ16	turquoise
LINC02095	green
LINC01152	green
SOX9-AS1	green
LINC00511	brown
SDK2	turquoise
KIF19	turquoise
CD300A	blue
C17orf77	grey
HID1	yellow
EVPL	red
FOXJ1	yellow
CYGB	turquoise
RP11-13K12.1	blue
RP11-13K12.5	blue
TMC8	blue
BIRC5	brown
SOCS3	turquoise
C1QTNF1	turquoise
CTD-2047H16.2	brown
NOTUM	brown
CD7	blue
COLEC12	turquoise
NDC80	brown
GAPDHP66	blue
DLGAP1-AS5	blue
DLGAP1	blue
EPB41L3	turquoise
TMEM200C	blue
L3MBTL4-AS1	blue
L3MBTL4	blue
LAMA1	turquoise
PTPRM	turquoise
APCDD1	turquoise
PIEZO2	turquoise
CIDEA	turquoise
RP11-681B3.4	yellow
POTEC	yellow
ANKRD30B	yellow
ANKRD29	turquoise
LAMA3	turquoise
ZNF521	turquoise
PCAT18	yellow
CHST9	turquoise
CDH2	grey
DSC3	green
DSG1	turquoise
DSG1-AS1	turquoise
DSG3	green
TTR	black
CCDC178	turquoise
SLC14A2	turquoise
LOXHD1	turquoise
ZBTB7C	turquoise
RP11-15F12.6	red
LIPG	green
SKA1.1	brown
MAPK4.1	turquoise
TCF4	turquoise
ONECUT2	brown
RP11-1151B14.4	blue
ALPK2	blue
GRP	turquoise
CCBE1	turquoise
SERPINB5	green
