gene_id	colors
PLIN5	blue
CTB-50L17.14	blue
LRG1	blue
FUT3	grey
C3	turquoise
PCP2	blue
CTD-3193O13.11	turquoise
PRR36	turquoise
FBN3	turquoise
MUC16	grey
COL5A3	turquoise
RGL3	turquoise
CNN1	turquoise
LYL1	turquoise
PALM3	turquoise
SLC1A6	grey
CASP14	grey
CYP4F22	turquoise
CYP4F23P	blue
CYP4F8	blue
CYP4F3	grey
UCA1.1	grey
HSH2D	turquoise
PLVAP	turquoise
GDF15	blue
LRRC25	turquoise
COMP	turquoise
NCAN	grey
AC003973.3	turquoise
LINC01224	grey
TSHZ3	turquoise
TDRD12	grey
HPN	turquoise
HPN-AS1	turquoise
CTD-2527I21.15	grey
FXYD3	turquoise
CD22	turquoise
SBSN	grey
AC002398.12	turquoise
HSPB6	turquoise
PPP1R14A	turquoise
ACP7	grey
NCCRP1	grey
GMFG	turquoise
FCGBP.1	turquoise
MIA	turquoise
CYP2T1P	blue
AC092071.1	blue
CYP2B7P	blue
CYP2B6	blue
AXL	turquoise
CEACAM7.1	blue
CEACAM5	blue
AC011513.3	blue
CEACAM6	blue
CD79A	brown
CXCL17	grey
CBLC	turquoise
APOC1	turquoise
EXOC3L2	turquoise
GPR4	turquoise
FOXA3	grey
IGFL2-AS1	grey
AC006262.6	grey
CCDC8	turquoise
PNMAL2	turquoise
CTB-158D10.3	turquoise
C5AR2	blue
ZNF541	turquoise
EHD2	turquoise
SPACA4	turquoise
FAM83E	turquoise
FCGRT	turquoise
SPIB	brown
KLK3	turquoise
KLK4	turquoise
CTB-147C22.8	grey
KLK6	grey
KLK8	grey
CTC-518B2.8	grey
CTC-518B2.12	grey
KLK10	turquoise
KLK12	turquoise
ZNF677	turquoise
LILRB5.4	turquoise
LAIR1.4	turquoise
NLRP2.9	grey
TNNT1	grey
COX6B2	turquoise
CTD-2105E13.6	turquoise
FAM71E2	turquoise
ZNF542P	turquoise
ZSCAN1	turquoise
AC116614.1	turquoise
TPO	blue
AC144450.1	blue
AC144450.2	blue
SOX11	grey
RSAD2	turquoise
RP11-734K21.5	grey
RRM2	grey
KCNF1	turquoise
GREB1	blue
FAM84A	grey
MYCN	turquoise
OSR1	turquoise
DPYSL5	grey
EMILIN1	turquoise
FNDC4	turquoise
LBH	turquoise
CAPN13	blue
XDH	grey
VIT	turquoise
LINC01833	grey
SIX3	turquoise
EFEMP1	grey
ARHGAP25	turquoise
ADD2	grey
CLEC4F	turquoise
EMX1	blue
ACTG2	turquoise
REG1A	grey
SMYD1	turquoise
GPAT2P1	turquoise
ARID5A	turquoise
AC092667.2	blue
SLC9A2	grey
MALL	turquoise
FBLN7	turquoise
IL1RN	turquoise
LINC01956	grey
EN1	turquoise
INHBB	grey
GLI2	turquoise
TFCP2L1	turquoise
GYPC	turquoise
CYP27C1	grey
MYO7B	turquoise
LIMS2	turquoise
KLF2P1	blue
CYP4F27P	blue
FAR2P1	blue
CCDC74B	blue
CYP4F62P	blue
CYP4F30P	blue
RP11-1216L17.1	blue
KLF2P3	blue
FAR2P3	blue
FAR2P4	blue
CCDC74A	blue
POTEKP	blue
RP11-433A19.2	blue
GRAMD4P8	blue
LINC01087	blue
CXCR4	turquoise
ZEB2	turquoise
KCNJ3	blue
LINC01876	grey
AC009313.2	grey
AC007750.5	turquoise
FAP	turquoise
LRP2	turquoise
MYO3B	turquoise
DLX1	grey
DLX2	grey
CDCA7	grey
WIPF1	turquoise
HOXD9	turquoise
HOXD8	turquoise
HOXD4	turquoise
AC009336.19	turquoise
AC092162.1	blue
FRZB	turquoise
CALCRL	turquoise
SLC40A1	turquoise
SDPR	turquoise
ERBB4	blue
ABCA12	grey
FN1	turquoise
IGFBP5	turquoise
AC007563.5	turquoise
TNS1	turquoise
CXCR2P1	brown
RUFY4	turquoise
SLC11A1	turquoise
WNT6	grey
WNT10A	turquoise
PTPRN	turquoise
DES	turquoise
KCNE4	turquoise
SERPINE2	grey
SPHKAP	grey
DNER	grey
ALPP	grey
ECEL1	turquoise
INPP5D.1	turquoise
UGT1A7	grey
UGT1A6	grey
TRPM8	grey
ACKR3	turquoise
COL6A3	turquoise
MLPH	blue
RAB17	blue
RAMP1	turquoise
TWIST2	turquoise
PP14571	blue
KIF1A	grey
