node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000478874,26.0,0.56839,4.0,6.0,101.413,3.0,0.09091,51.72561,11.33058,960.0,3708.0,0.46667,
9606.ENSP00000327431,48.0,0.58344,5.0,5.0,66.913,1.0,0.09091,46.57392,10.69835,169.74941,1040.0,0.9,
9606.ENSP00000463939,3.0,0.0,1.0,3.0,88.432,8.0,0.09091,53.82951,11.81405,2415.28546,8158.0,0.0,
9606.ENSP00000457230,3.0,0.0,1.0,3.0,51.532,4.0,0.07143,41.44745,9.83471,534.50519,1480.0,0.0,
9606.ENSP00000289575,264.0,0.62199,7.0,7.0,133.324,1.0,0.08333,57.289,11.80579,51.37105,866.0,0.80952,
9606.ENSP00000379032,10.0,0.46346,3.0,7.0,97.115,12.0,0.09091,56.33943,11.6281,5053.15131,26186.0,0.19048,
9606.ENSP00000332448,7.0,0.30898,3.0,6.0,123.603,6.0,0.1,57.78175,12.0124,1889.44352,10930.0,0.2,
9606.ENSP00000379038,16.0,0.38896,5.0,7.0,132.151,3.0,0.09091,62.05837,12.16116,1497.63613,9030.0,0.28571,
9606.ENSP00000312617,2.0,0.30779,2.0,2.0,86.352,1.0,0.07692,49.28172,11.17769,0.0,0.0,1.0,
9606.ENSP00000199708,49.0,0.58344,5.0,6.0,69.049,1.0,0.09091,47.89733,10.77686,637.719,1922.0,0.6,
9606.ENSP00000360776,2.0,0.30779,2.0,2.0,51.338,1.0,0.08333,42.39766,10.54132,0.0,0.0,1.0,
9606.ENSP00000480012,3.0,0.30779,2.0,3.0,71.31,3.0,0.08333,52.08463,11.39256,998.74001,5742.0,0.33333,
9606.ENSP00000258168,241.0,0.66569,6.0,7.0,126.83,1.0,0.07692,58.02458,11.7438,1277.54924,4494.0,0.66667,
9606.ENSP00000287713,25.0,0.56839,4.0,5.0,90.799,1.0,0.08333,49.68304,11.26446,266.9316,770.0,0.6,
9606.ENSP00000261200,2.0,0.30779,2.0,2.0,56.331,1.0,0.08333,40.57172,10.19008,0.0,0.0,1.0,
9606.ENSP00000371535,2.0,0.0,1.0,2.0,59.94,8.0,0.08333,47.65368,11.20248,2502.72714,5968.0,0.0,
