"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-312B8.2",2.33572918658839,1.23386368004549,0.423866765071205,2.91097057311917,0.00360307949916801,0.00790169277845937
"RNU1-8P",0.774331432309746,2.08454239759523,0.670836189035755,3.10737916598016,0.0018875413194523,0.00440493767152265
"RP11-338N10.1",21.2230466132029,1.13041355460158,0.375010753146683,3.01434970895202,0.00257530769428105,0.00582763616750852
"RP11-338N10.2",14.1574011431732,1.15892743106707,0.352272929475328,3.28985662563731,0.0010023844390134,0.00249074665882189
"RP11-338N10.3",21.9041462563915,1.36751449492999,0.327982140380715,4.16947853728439,3.05297363370545e-05,0.000103583223816777
"VAMP3",1992.44260594873,-1.2385814510448,0.160171858053554,-7.73282813907721,1.05183253776417e-14,1.98061349079188e-13
"RP3-467L1.4",120.321698694218,-1.54321001738926,0.266896420267004,-5.78205588462154,7.37931835612522e-09,4.98741932933036e-08
"PER3",1644.10764843929,-1.52322367241893,0.237903641187228,-6.40269171508885,1.52661248967658e-10,1.39400913554849e-09
"UTS2",242.776828221998,-1.59675808486182,0.242127117308845,-6.59470984749337,4.2608834373952e-11,4.28729572178334e-10
"TNFRSF9",89.4207601762212,2.94598728419998,0.354710269783497,8.30533405756226,9.9538996415268e-17,2.63921641381235e-15
"CTA-215D11.4",3.72438488270258,1.05448519569192,0.356968688236998,2.95399913336889,0.00313684886572566,0.00697117965077613
"RP11-431K24.1",48.7431397050521,1.40840744788217,0.337267849309799,4.17593153561599,2.96769074725342e-05,0.000100893057459872
"LINC01714",2.20266425685172,2.10666310384592,0.605710706429633,3.47800209156557,0.000505165983126519,0.00133512932453987
"SLC45A1",130.748454158997,-1.34717877394951,0.228523284930921,-5.8951488219537,3.7434383977729e-09,2.67984074865234e-08
"SNORA77",14.2481616033202,2.05770602837883,0.385739089307791,5.334450371808,9.58343933492542e-08,5.24280809497205e-07
"RPL7P7",18.0061331009986,1.4697777040686,0.315661525874471,4.65618259937414,3.22126262878713e-06,1.31612765340846e-05
"RP4-633I8.3",31.3044459444525,1.59074260225857,0.310544031924146,5.12243816892004,3.01610012985151e-07,1.50084126278644e-06
"RP4-633I8.4",25.6608496949672,1.3564010211936,0.277003783561512,4.89668770496195,9.746554676433e-07,4.39384080852e-06
"MIR6728",10.717917157395,1.17641067996762,0.225747579900058,5.21117737115249,1.87645940410228e-07,9.73502259647212e-07
"ENO1-IT1",30.3727792470568,1.94900034523269,0.277634882502402,7.02001249866661,2.21848399229108e-12,2.80221856952937e-11
"RNU6-304P",0.961172778174435,1.80286776697152,0.619020302063948,2.912453373436,0.00358601732954981,0.00786751763151711
"RP3-477M7.5",0.7424986978911,1.55085897953947,0.621390783177128,2.49578690499726,0.012567807565425,0.024223533459603
"SLC2A7",1.19769771643102,1.29656327013858,0.5520481647867,2.34864157304019,0.018842034743726,0.0347781996570682
"H6PD",5645.23497479184,-1.35338838515499,0.158858913646698,-8.51943623487769,1.60331853769392e-17,4.80143265650239e-16
"RP13-392I16.1",1.75804958704495,-2.83026693345506,0.753521643331787,-3.75605260778005,0.000172614423669515,0.000502073843006422
"PIK3CD-AS1",18.4124014994398,2.04375708674843,0.361877301831505,5.64765205334716,1.62653955961859e-08,1.0307946904756e-07
"RP11-558F24.2",1.22467455854083,2.52888085962029,0.65351880384046,3.86963748366398,0.000108997302837925,0.000329757842683156
"PIK3CD-AS2",51.0349497015608,1.03477103801191,0.289676308006317,3.57216316768764,0.000354044699466466,0.00096501767042075
"RP11-84A14.7",5.03920800624131,1.19237810513551,0.362953157097093,3.28521210470291,0.00101905625906212,0.00252876141188732
"RN7SKP269",4.30891569318058,2.12734991450356,0.341206450128622,6.23478809882295,4.52390037045187e-10,3.81519847198112e-09
"RP11-84A14.4",5.51970981334309,1.16141187803111,0.245334918561901,4.73398521840695,2.20153766788238e-06,9.27916831498527e-06
"RP11-84A14.6",11.7548887822069,2.2033491764253,0.321586041590469,6.85150750178144,7.30757658439235e-12,8.4502126236085e-11
"MIR5697",2.66646546067253,2.46351106203377,0.497489706076101,4.95188349014185,7.34986068806989e-07,3.39194370709548e-06
"RBP7",513.734691603591,-2.22681231580028,0.346073202005928,-6.4345124178732,1.23870311813886e-10,1.1464108776977e-09
"RP11-496H15.2",1.58119099880961,1.34136723261122,0.418610410719738,3.20433318967137,0.00135375711498116,0.00326342425749462
"PGAM1P11",10.4136423881846,1.586165506481,0.275894151931136,5.74918132689132,8.96766032259446e-09,5.97823213904268e-08
"RNU6-37P",23.4235927872106,1.41292527798695,0.280058735196361,5.04510340302823,4.53276166623806e-07,2.18273624686052e-06
"RP4-736L20.3",5.00881534671986,2.7985200657783,0.348174442391284,8.03769526148413,9.15439503478073e-16,2.06577854024729e-14
"CORT",53.1260496518848,1.15341050239697,0.222651570600079,5.18033849610112,2.21483617509126e-07,1.13299358578787e-06
"C1orf127",46.9415342213861,1.48235905583116,0.321204133971672,4.61500615668256,3.93083663514625e-06,1.57692627816777e-05
"CFL1P6",3.87051715929346,1.7552712437033,0.449045410848868,3.90889473825189,9.27193498355016e-05,0.000285029854442838
"ANGPTL7",78.3667490426554,-3.22323040906815,0.371854183958216,-8.66799554265694,4.39793939973867e-18,1.43653020570591e-16
"MAD2L2",1534.81392231994,1.05153772403599,0.192776988095916,5.45468488963424,4.90597655720478e-08,2.83757322673935e-07
"DRAXIN",164.075876475204,2.64385066383071,0.419042449882935,6.30926691214532,2.80360250792012e-10,2.45520311067584e-09
"RP11-56N19.5",1.860859082888,1.65430326469961,0.538362111723484,3.07284489133831,0.00212028663673077,0.00488641474635926
"NPPA-AS1_2",6.84435180999066,1.38010046573436,0.381920761472014,3.61357801135274,0.000302000434838221,0.000835526393703965
"NPPA-AS1_3",8.87472076671841,2.27147918042249,0.404297589698909,5.61833470764472,1.92806722826121e-08,1.20435036818795e-07
"NPPA",43.2459758158675,1.7684827732238,0.341274799029356,5.18199051982061,2.19530375915671e-07,1.12406031337916e-06
"Y_RNA.78",2.19680173290811,1.45018102032758,0.366691316878683,3.95477327543963,7.66072641677167e-05,0.000239026444560573
"MIR6729",4.61809600046423,1.80158753869074,0.28728789784697,6.27101786115053,3.58695464458441e-10,3.08257938183641e-09
"MIIP",2937.43207103506,1.24197104141907,0.138474216566494,8.9689696191398,2.99301095331873e-19,1.16900758156335e-17
"RN7SL649P",1.12019899171695,1.40615443417477,0.580148217248752,2.42378480596425,0.0153597040958822,0.0289726396687671
"TNFRSF8",175.151041836481,-1.57955381135596,0.296179412272082,-5.33309793290062,9.65512047615232e-08,5.27840442973574e-07
"MIR7846",1.96249643691881,-3.2437092286473,0.407276859158934,-7.96438382319552,1.66049101801704e-15,3.56734423699401e-14
"TNFRSF1B",3058.06596446807,-1.73816704192768,0.243865243267184,-7.12757184517394,1.0215495539385e-12,1.37659101567911e-11
"DHRS3",2977.85264398971,-1.1962551523647,0.226228619400109,-5.28781528852013,1.23785880667365e-07,6.6496375316993e-07
"RP11-474O21.5",13.418284331562,-1.54045605322071,0.297803581047982,-5.17272508208191,2.30704331920533e-07,1.17427314788722e-06
"AADACL3",3.44236759836894,-3.11564765873496,0.746888747457738,-4.17150167188889,3.02598836415606e-05,0.000102754187810489
"PRAMEF34P.2",2.41472172515384,-4.53030467590465,0.68021657079214,-6.66009160968973,2.73656956009883e-11,2.85429390950409e-10
"PRAMEF36P.2",2.85857922195658,-4.86723290534984,0.75271017141025,-6.46627757963038,1.0044649316053e-10,9.445955076575e-10
